Location,Version,Encounter Type,Expected EXP,Encounter Rate,Efficiency Score
"Abandoned Ship Hidden Floor Corridors",Emerald,Surfing,306.51,4,76.63
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Old Rod,48.45,20,60.56
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Good Rod,154.03,20,192.54
"Abandoned Ship Hidden Floor Corridors",Emerald,Fishing Super Rod,541.49,20,676.86
"Abandoned Ship Rooms B1F",Emerald,Surfing,306.51,4,76.63
"Abandoned Ship Rooms B1F",Emerald,Fishing Old Rod,48.45,20,60.56
"Abandoned Ship Rooms B1F",Emerald,Fishing Good Rod,154.03,20,192.54
"Abandoned Ship Rooms B1F",Emerald,Fishing Super Rod,541.49,20,676.86
"Altering Cave",Emerald,Grass,347.85,7,152.18
"Artisan Cave 1F",Emerald,Grass,652.61,10,407.88
"Artisan Cave B1F",Emerald,Grass,652.61,10,407.88
"Cave Of Origin 1F",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Entrance",Emerald,Grass,298.75,4,74.69
"Cave Of Origin Unused Ruby Sapphire Map1",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Unused Ruby Sapphire Map2",Emerald,Grass,363.05,4,90.76
"Cave Of Origin Unused Ruby Sapphire Map3",Emerald,Grass,363.05,4,90.76
"Desert Underpass",Emerald,Grass,405.66,10,253.54
"Dewford Town",Emerald,Surfing,276.04,4,69.01
"Dewford Town",Emerald,Fishing Old Rod,48.45,10,30.28
"Dewford Town",Emerald,Fishing Good Rod,172.23,10,107.64
"Dewford Town",Emerald,Fishing Super Rod,573.05,10,358.16
"Ever Grande City",Emerald,Surfing,276.04,4,69.01
"Ever Grande City",Emerald,Fishing Old Rod,48.45,10,30.28
"Ever Grande City",Emerald,Fishing Good Rod,175.00,10,109.38
"Ever Grande City",Emerald,Fishing Super Rod,574.68,10,359.17
"Fiery Path",Emerald,Grass,226.45,10,141.53
"Granite Cave 1F",Emerald,Grass,59.64,10,37.27
"Granite Cave B1F",Emerald,Grass,106.50,10,66.56
"Granite Cave B2F",Emerald,Grass,124.40,10,77.75
"Granite Cave B2F",Emerald,Rock Smash,160.29,20,200.36
"Granite Cave Stevens Room",Emerald,Grass,62.10,10,38.81
"Jagged Pass",Emerald,Grass,252.85,20,316.06
"Lilycove City",Emerald,Surfing,276.04,4,69.01
"Lilycove City",Emerald,Fishing Old Rod,48.45,10,30.28
"Lilycove City",Emerald,Fishing Good Rod,172.23,10,107.64
"Lilycove City",Emerald,Fishing Super Rod,569.45,10,355.91
"Magma Hideout 1F",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 1R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 2R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 2F 3R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 1R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 2R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 3F 3R",Emerald,Grass,448.01,10,280.01
"Magma Hideout 4F",Emerald,Grass,448.01,10,280.01
"Meteor Falls 1F 1R",Emerald,Grass,170.35,10,106.47
"Meteor Falls 1F 1R",Emerald,Surfing,218.81,4,54.70
"Meteor Falls 1F 1R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls 1F 1R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls 1F 1R",Emerald,Fishing Super Rod,384.65,30,721.22
"Meteor Falls 1F 2R",Emerald,Grass,817.45,10,510.91
"Meteor Falls 1F 2R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls 1F 2R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls 1F 2R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls 1F 2R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls B1F 1R",Emerald,Grass,817.45,10,510.91
"Meteor Falls B1F 1R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls B1F 1R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls B1F 1R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls B1F 1R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls B1F 2R",Emerald,Grass,721.85,10,451.16
"Meteor Falls B1F 2R",Emerald,Surfing,765.54,4,191.38
"Meteor Falls B1F 2R",Emerald,Fishing Old Rod,50.25,30,94.22
"Meteor Falls B1F 2R",Emerald,Fishing Good Rod,149.86,30,280.98
"Meteor Falls B1F 2R",Emerald,Fishing Super Rod,468.47,30,878.38
"Meteor Falls Stevens Cave",Emerald,Grass,817.45,10,510.91
"Mirage Tower 1F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 2F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 3F",Emerald,Grass,247.69,10,154.81
"Mirage Tower 4F",Emerald,Grass,247.69,10,154.81
"Mossdeep City",Emerald,Surfing,276.04,4,69.01
"Mossdeep City",Emerald,Fishing Old Rod,48.45,10,30.28
"Mossdeep City",Emerald,Fishing Good Rod,172.23,10,107.64
"Mossdeep City",Emerald,Fishing Super Rod,697.60,10,436.00
"Mt Pyre 1F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 2F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 3F",Emerald,Grass,364.05,10,227.53
"Mt Pyre 4F",Emerald,Grass,364.79,10,227.99
"Mt Pyre 5F",Emerald,Grass,364.79,10,227.99
"Mt Pyre 6F",Emerald,Grass,364.79,10,227.99
"Mt Pyre Exterior",Emerald,Grass,327.81,10,204.88
"Mt Pyre Summit",Emerald,Grass,386.06,10,241.29
"New Mauville Entrance",Emerald,Grass,328.70,10,205.44
"New Mauville Inside",Emerald,Grass,334.23,10,208.89
"Pacifidlog Town",Emerald,Surfing,276.04,4,69.01
"Pacifidlog Town",Emerald,Fishing Old Rod,48.45,10,30.28
"Pacifidlog Town",Emerald,Fishing Good Rod,172.23,10,107.64
"Pacifidlog Town",Emerald,Fishing Super Rod,697.60,10,436.00
"Petalburg City",Emerald,Surfing,177.71,1,11.11
"Petalburg City",Emerald,Fishing Old Rod,50.25,10,31.41
"Petalburg City",Emerald,Fishing Good Rod,160.71,10,100.45
"Petalburg City",Emerald,Fishing Super Rod,464.22,10,290.14
"Petalburg Woods",Emerald,Grass,45.20,20,56.50
"Route 101",Emerald,Grass,18.56,20,23.20
"Route 102",Emerald,Grass,28.71,20,35.89
"Route 102",Emerald,Surfing,181.05,4,45.26
"Route 102",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 102",Emerald,Fishing Good Rod,160.71,30,301.34
"Route 102",Emerald,Fishing Super Rod,464.22,30,870.41
"Route 103",Emerald,Grass,22.95,20,28.69
"Route 103",Emerald,Surfing,276.04,4,69.01
"Route 103",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 103",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 103",Emerald,Fishing Super Rod,697.60,30,1307.99
"Route 104",Emerald,Grass,34.75,20,43.44
"Route 104",Emerald,Surfing,205.51,4,51.38
"Route 104",Emerald,Fishing Old Rod,21.00,30,39.38
"Route 104",Emerald,Fishing Good Rod,56.71,30,106.34
"Route 104",Emerald,Fishing Super Rod,83.32,30,156.22
"Route 105",Emerald,Surfing,276.04,4,69.01
"Route 105",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 105",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 105",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 106",Emerald,Surfing,276.04,4,69.01
"Route 106",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 106",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 106",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 107",Emerald,Surfing,276.04,4,69.01
"Route 107",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 107",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 107",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 108",Emerald,Surfing,276.04,4,69.01
"Route 108",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 108",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 108",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 109",Emerald,Surfing,276.04,4,69.01
"Route 109",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 109",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 109",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 110",Emerald,Grass,130.34,20,162.93
"Route 110",Emerald,Surfing,276.04,4,69.01
"Route 110",Emerald,Fishing Old Rod,48.45,30,90.84
"Route 110",Emerald,Fishing Good Rod,172.23,30,322.93
"Route 110",Emerald,Fishing Super Rod,573.05,30,1074.48
"Route 111",Emerald,Grass,225.10,10,140.69
"Route 111",Emerald,Surfing,181.05,4,45.26
"Route 111",Emerald,Rock Smash,119.55,20,149.44
"Route 111",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 111",Emerald,Fishing Good Rod,149.86,30,280.98
"Route 111",Emerald,Fishing Super Rod,384.65,30,721.22
"Route 112",Emerald,Grass,171.15,20,213.94
"Route 113",Emerald,Grass,186.60,20,233.25
"Route 114",Emerald,Grass,220.64,20,275.80
"Route 114",Emerald,Surfing,181.05,4,45.26
"Route 114",Emerald,Rock Smash,119.55,20,149.44
"Route 114",Emerald,Fishing Old Rod,50.25,30,94.22
"Route 114",Emerald,Fishing Good Rod,149.86,30,280.98
"Route 114",Emerald,Fishing Super Rod,384.65,30,721.22
